Key,Korean,English
title.continue,이어하기,CONTINUE
title.newgame,새 게임,NEW GAME
title.options,옵션,OPTIONS
title.quit,나가기,QUIT
title.newgame.confirm,새로 시작하면 지금까지의 진행도가 모두 지워집니다.\n계속할까요?,Starting a new game erases all progress.\nContinue?
options.title,옵션,OPTIONS
options.bgm,배경음,MUSIC
options.sfx,효과음,SFX
options.orientation,화면 방향,SCREEN
options.orientation.auto,자동,AUTO
options.orientation.portrait,세로 고정,PORTRAIT
options.orientation.landscape,가로 고정,LANDSCAPE
options.language,언어,LANGUAGE
options.reset,진행도 초기화,RESET PROGRESS
options.reset.confirm,저장된 진행도를 모두 지웁니다.\n되돌릴 수 없습니다. 계속할까요?,This erases all saved progress.\nThis cannot be undone.
map.start,시작,START
map.title,스테이지 {0},STAGE {0}
map.title.clear,스테이지 {0}  - 클리어,STAGE {0}  - CLEAR
map.title.locked,스테이지 {0}  - 잠김,STAGE {0}  - LOCKED
map.locked.body,잠김\n이전 스테이지를 먼저 클리어하세요,LOCKED\nCLEAR THE PREVIOUS STAGE FIRST
map.info,월드 {0}   보드 {1}x{2}   턴 {3}\n보스  {4}\n위험  {5},WORLD {0}   BOARD {1}x{2}   TURNS {3}\nBOSS  {4}\nHAZARD  {5}
map.unknown,???,???
map.vein.remaining,남은 소울  {0} / {1},SOULS LEFT  {0} / {1}
map.vein.depleted,이 땅의 소울은 모두 거뒀다,THIS LAND IS SPENT
map.hazard.none,없음,NONE
gimmick.corruption,전염,CORRUPTION
gimmick.timebomb,시한폭탄,TIME BOMB
gimmick.chains,사슬 결박,CHAINS
puzzle.hp,체력 {0}/{1},HP {0}/{1}
puzzle.turns,턴 {0},TURNS {0}
puzzle.souls,Lv {0}   영혼석 {1}/{2}   포인트 {3},Lv {0}   Souls {1}/{2}   Points {3}
puzzle.vein.remaining,남은 소울 {0},SOULS LEFT {0}
puzzle.vein.depleted,이 땅의 소울은 모두 거뒀다,THIS LAND IS SPENT
puzzle.stats,공격 {0:0}   방어 {1:0}   패링 {2:0.00}초,ATK {0:0}   DEF {1:0}   PARRY {2:0.00}s
puzzle.alloc.attack,+공격\nLv {0},+ATK\nLv {0}
puzzle.alloc.defense,+방어\nLv {0},+DEF\nLv {0}
puzzle.alloc.parry,+패링\nLv {0},+PARRY\nLv {0}
puzzle.alloc.cost,\n{0}P,\n{0}P
puzzle.alloc.attack.max,+공격\n최대,+ATK\nMAX
puzzle.alloc.defense.max,+방어\n최대,+DEF\nMAX
puzzle.alloc.parry.max,+패링\n최대,+PARRY\nMAX
puzzle.banner.victory,스테이지 클리어,STAGE CLEAR
puzzle.banner.defeat,패배,DEFEAT
puzzle.banner.combat,보스!,BOSS!
puzzle.banner.noMoves,둘 수 있는 수 없음 — 섞는 중,NO MOVES — SHUFFLING
puzzle.bossTimer,보스까지 {0}초,BOSS IN {0}s
combat.boss,보스,BOSS
combat.hp,체력 {0}/{1},HP {0}/{1}
combat.posture,체간,POSTURE
combat.parry,패링,PARRY
combat.attack,공격,ATTACK
combat.execute,인살!!,EXECUTE!!
combat.intro,보스 전투,BOSS BATTLE
combat.popup.parry,패링!,PARRY!
result.victory,스테이지 클리어,STAGE CLEAR
result.defeat,패배,DEFEAT
result.restart,다시 시작,RESTART
result.map,지도,MAP
ending.skip,아무 곳이나 눌러 넘기기,TAP TO SKIP
common.yes,예,YES
common.no,아니오,NO
common.back,뒤로,BACK
language.Korean,한국어,Korean
language.English,English,English
intermission.title,보스 돌입 준비,BOSS INCOMING
intermission.points,"남은 포인트 {0}점 — 지금 분배하세요","{0} POINT(S) TO SPEND"
intermission.nopoints,준비되면 시작하세요,READY WHEN YOU ARE
intermission.fight,전투 시작,FIGHT
puzzle.banner.intermission,보스 돌입 준비,BOSS INCOMING
intermission.warning,"위에서 보스가 다가오고 있습니다!\n필요한 능력치를 올리세요","THE BOSS IS CLOSING IN!\nSpend your points now"
intermission.npc.saint,성녀,SAINT
intermission.npc.blacksmith,대장장이,BLACKSMITH
character.select.title,캐릭터 선택,CHOOSE YOUR CHARACTER
character.select.confirm,이 캐릭터로 시작,START AS THIS ONE
character.knight,기사,KNIGHT
character.knight.desc,"체력과 방어가 조금 더 높다. 성녀가 곁을 지킨다.","A little more health and defense. A saint watches over them."
character.sekiro,낭인,WANDERER
character.sekiro.desc,"공격과 패링 판정이 조금 더 넓다. 무녀가 곁을 지킨다.","A little more attack and a wider parry. A shrine maiden watches over them."
boss.irithyll.01,설리번의 짐승,Sulyvahn's Beast
boss.irithyll.02,법왕 설리번,Pontiff Sulyvahn
boss.ashina.01,목없는 사자원숭이,Headless Ape
boss.ashina.02,아시나 겐이치로,Genichiro Ashina
pause.title,일시정지,PAUSED
pause.resume,계속하기,RESUME
pause.quit,지도로 나가기,QUIT TO MAP
pause.quit.confirm,지도로 나갈까요?\n진행 중인 판은 사라집니다.,Quit to map?\nThis run will be lost.
boss.phase.transition,그러나 아직 쓰러지지 않았다,BUT IT IS NOT OVER
